country,year,energy_type,production_gwh,installed_capacity_mw,investments_usd,population,gdp,energy_consumption,energy_exports,energy_imports,co2_emissions,renewable_energy_jobs,government_policies,r&d_expenditure,renewable_energy_targets,average_annual_temperature,annual_rainfall,solar_irradiance,wind_speed,hydro_potential,geothermal_potential,biomass_availability,energy_storage_capacity,grid_integration_capability,electricity_prices,energy_subsidies,international_aid_for_renewables,public_awareness,energy_efficiency_programs,urbanization_rate,industrialization_rate,energy_market_liberalization,renewable_energy_patents,educational_level,technology_transfer_agreements,renewable_energy_education_programs,local_manufacturing_capacity,import_tariffs_on_energy_equipment,export_incentives_for_energy_equipment,natural_disasters,political_stability,corruption_perception_index,regulatory_quality,rule_of_law,control_of_corruption,economic_freedom_index,ease_of_doing_business,innovation_index,number_of_research_institutions,number_of_renewable_energy_conferences,number_of_renewable_energy_publications,energy_sector_workforce,proportion_of_energy_from_renewables,public-private_partnerships_in_energy,regional_renewable_energy_cooperation
Japan,2004,Hydro,86435.99214,39012.16754,1517097985,1046124239,8.36301E+13,699797.621,53548.24291,9007.589375,102156.0915,79053,0,4977630458,1,-1.470620894,2345.270401,268.2019656,8.288871533,72.22666331,18.09355279,83.47935634,275.7478752,0.090192869,0.050367354,976856952.2,101505114.8,8.370087215,1,44.77771631,96.85194934,0,17,7.003780079,0,1,4.41309404,41.63445937,79.38509992,0,2.406857195,4.466851464,1.032545212,9.048551824,2.159912173,9.618092894,28.42219484,55.36302377,35,29,693,839450,58.11885522,0,1
China,2004,Wind,88192.59205,7755.352549,4179178416,572427351,1.08989E+14,677508.7817,10057.07662,49292.89618,149583.8534,768511,0,7336237874,1,36.68600948,224.3401511,271.5422317,6.750063909,86.12204411,10.45126421,24.47644331,781.8238369,0.959539696,0.07459878,55064477.87,298058490.1,4.454610706,1,80.91568218,53.96754929,0,988,5.120125798,1,0,65.47761379,58.37928266,31.36837042,1,2.183469307,1.157544134,8.963303524,8.985958506,3.943519891,46.91228852,46.35351454,90.30976447,426,13,1968,50292,77.65540136,1,0
India,2007,Biomass,43111.12188,1527.913216,5206906252,367463313,9.5881E+12,143367.6297,31458.38996,73576.49551,225562.3932,488948,0,325335607.7,1,31.33120285,1670.347579,208.23704,3.210103365,46.28918339,83.4912582,31.63000607,660.4171882,0.025988014,0.200187278,761187396.4,200228020,0.975295347,1,98.9913455,73.99585674,0,855,5.367665973,0,1,51.55678476,39.72347528,81.35140992,1,8.284412024,2.91946772,3.035858593,9.604819571,9.147308189,44.39577172,48.22127107,59.55746479,24,94,8287,520790,48.65014281,1,0
France,2002,Solar,56107.54212,20348.51327,3082788707,856966465,2.94684E+13,893955.4564,35704.67394,5847.165758,403253.2968,113067,1,1313266240,1,-7.052721721,897.2407111,211.1270613,5.133722273,60.96090235,44.60441181,33.13728168,372.5167975,0.213735143,0.35034536,655263358.6,406370620.2,0.311774616,1,23.21556939,83.73115931,0,547,6.56763822,1,1,41.25095079,77.20889109,67.74201666,0,6.713450164,3.736314413,6.026756685,5.336300902,2.30516044,98.05483277,70.50684589,15.4737133,312,87,5431,924428,13.44706216,0,0
India,2004,Hydro,46268.73885,15281.57786,4726737561,612509540,1.53937E+14,299048.3808,31402.37296,33556.15564,32904.77007,742302,1,2995477115,1,-0.552852301,570.6369914,147.8499394,9.73910872,72.39538721,30.45305448,16.13702321,51.38805845,0.739682033,0.060785638,373167237.7,406760202.8,9.884673186,1,45.93262021,20.62510645,1,50,4.426217664,0,1,34.68735416,26.17196056,41.21709967,0,1.234675532,4.244993409,1.770233947,2.269053782,6.033933924,98.28274338,17.02235115,74.88384167,586,89,4549,530745,82.00638318,1,1
Germany,2012,Hydro,86816.22112,18304.79317,4973143928,1100502004,1.16062E+14,643333.922,69377.79364,21973.05219,932691.3378,831498,0,9045183846,1,5.223896849,2662.78929,214.2948898,14.62198863,16.13133963,21.17733077,31.11010847,258.4763497,0.934616654,0.326282011,717884106.5,312107939.4,1.530155553,1,5.208074884,84.26889246,1,97,5.866812005,0,0,1.219807778,3.367265482,90.49568723,1,5.337731155,8.233622131,9.529870759,3.098474155,1.976645881,96.84081024,5.941699088,50.67356024,199,10,1448,202521,89.78353463,1,0
France,2012,Solar,58374.80788,328.0859242,3919368982,1308569178,8.72478E+13,946755.1752,79217.15336,47811.52409,853831.7657,789403,1,3688378913,1,-3.550257336,1159.655293,102.0109329,6.079962056,20.75756474,10.23816454,93.97594085,947.6767132,0.418152722,0.149642988,227194532.9,857704571.4,4.421064245,0,84.85382917,36.2341932,0,295,5.392851014,1,1,52.52313948,0.964350131,71.77161477,0,2.704699491,4.61741278,0.909483084,2.704292117,0.348127947,72.44051622,49.14676321,72.68164863,514,75,5663,484397,84.69427193,1,0
India,2012,Solar,35522.90186,2417.015904,6668781786,1047295814,5.12383E+13,520214.8055,21385.19973,88702.06282,827824.9963,510112,1,5008376868,1,1.397444507,1208.800106,205.0201384,9.09076981,65.48670021,58.18557398,90.74734581,458.5872219,0.725260376,0.062727327,826562536.3,869902245.1,1.185112609,0,8.196698274,79.17082059,0,122,9.211162593,0,0,65.99476912,54.69562992,67.00891952,0,3.691472878,5.870474516,8.973543952,6.339180357,4.975437227,49.36744072,0.262793457,55.03897614,302,75,220,542657,78.46247925,1,1
China,2012,Solar,76681.41071,36002.97573,672855638.7,378791975,8.6157E+13,548361.1819,53934.97376,5142.988985,430419.625,528640,0,8255608996,0,7.949159938,714.8621884,198.4372689,2.319922012,35.39604007,85.70470996,45.49375726,630.6824465,0.148082133,0.457776456,919950223.1,879345115.7,7.485678088,0,81.49492149,89.97380028,0,743,9.143232208,1,1,61.42779852,25.10786421,83.27963572,0,6.318403163,9.760583036,0.610581689,6.229983559,2.655677783,76.47902699,36.82753328,0.369955471,553,93,8473,335741,69.2720172,1,1
Russia,2007,Hydro,27404.54282,47639.43739,4848097907,1226658739,5.86332E+13,426717.0831,86514.05823,68227.66856,983404.3357,750657,1,3810035611,0,24.40108314,1863.598881,118.5662566,6.438186264,31.81944754,45.98982403,68.63704615,491.8622815,0.433279969,0.066965802,231526877.6,215865222,0.158206415,0,78.11830243,34.61016379,1,375,1.209565498,0,1,18.03367973,23.31967164,53.8293099,1,6.40839037,1.871774736,5.049188225,3.540141649,7.348117193,73.56707421,48.34238675,96.74988058,135,19,7544,399147,46.02212677,0,1
Brazil,2020,Biomass,27701.47099,19557.6779,4656705094,1170392621,8.40534E+12,285088.2265,65971.94645,97406.33603,288363.1854,296307,1,2477406581,1,13.31718655,2180.508631,107.8404428,3.795540464,53.31763385,2.146518817,18.24799436,883.5583134,0.742359664,0.088775096,617967030.4,407613938.9,3.400477796,0,57.17774858,97.92909709,1,297,4.992644879,1,1,48.31174918,83.16524015,28.24409949,1,2.316458525,8.47139867,5.251425773,7.849383522,8.315018791,68.21109054,71.64298345,49.00287088,701,11,6083,639756,2.20230724,1,1
France,2005,Geothermal,65242.20502,49822.82185,3837394064,934981123,1.26897E+14,388519.8894,24264.85502,75392.32168,128770.0124,151938,0,3576506194,1,8.014607777,2542.558053,213.5453276,0.91908562,32.27360681,59.15771167,57.34333757,921.4700363,0.009473242,0.195692442,206563253.3,478729217.7,7.570483934,0,51.95464987,50.54379992,1,43,3.387154268,0,0,75.66814469,5.911049794,14.43712139,0,6.88409965,9.362550494,9.419550076,4.954432248,5.094480296,65.71453662,30.54327784,45.22782898,998,1,9264,994115,21.21867578,1,1
Canada,2007,Solar,36822.16434,49699.10819,2038973665,432297444,5.51123E+13,681291.5467,74337.28342,31768.92593,756467.5853,257477,0,5973197753,1,-7.434935954,1547.355128,100.389815,5.047182363,14.92752742,35.48714713,7.160657578,723.8796218,0.632480305,0.301030682,747436981.7,976233233.9,3.416118089,1,69.37163348,4.708520822,1,744,7.386536825,1,1,19.32770481,75.14843572,93.80961205,1,6.803209278,5.254634388,5.622083463,1.043771597,2.205893107,96.48526255,43.28618763,73.90471892,490,64,2878,59829,29.68410319,1,1
Germany,2007,Geothermal,25179.26696,41604.01323,6483218309,46688736,9.68714E+13,914976.4473,77999.32502,18795.2011,422194.2408,310748,0,1685088455,0,33.84054838,2393.677867,158.9116281,3.911970373,35.44878592,75.09956229,90.78243629,22.57944233,0.186885234,0.185224366,491975062.4,672000425.1,8.942010321,0,39.04149928,22.08869871,1,591,2.352301208,0,0,53.23135395,46.28425615,0.665057567,0,8.236220133,0.031659281,0.912035009,0.184974381,1.656217269,67.18814157,13.58997311,42.26611927,927,47,1106,130344,37.12585953,1,0
USA,2005,Wind,86522.73998,32926.25636,6659035592,148612209,1.28578E+14,391271.6546,14448.44419,78520.70956,401170.4618,721210,1,5211260217,1,-8.863591322,636.2557705,210.0096784,5.284376559,82.62076075,69.82430755,9.410087516,74.13229812,0.744110128,0.279660613,147158677.8,530384717.3,5.668740461,1,90.00312189,28.83970733,1,187,9.532395657,1,0,16.35402346,71.71938299,22.76707942,1,0.997916958,1.784578103,9.333608937,1.711571612,5.658533949,35.35254798,74.69204085,75.22100448,650,90,8023,671216,57.13180172,1,1
Australia,2009,Biomass,3832.760612,26131.87082,4499298659,605390867,1.58937E+13,363620.143,31138.30185,20881.72838,193308.2263,155438,0,6701125869,1,34.68092099,972.6918279,255.8730397,4.376329276,1.425806564,54.87018003,62.83743658,825.5321619,0.975488575,0.376168344,206305601.9,453621624.2,6.428646204,0,3.453084654,79.10276815,1,40,2.687689844,0,1,82.74989261,70.85452885,79.28849498,1,7.501238841,5.674819749,4.241461141,7.016767186,8.06638002,78.06818193,22.54396187,49.98217876,621,0,6013,353809,81.85558715,0,0
Germany,2000,Hydro,69585.34281,19633.13717,2280666676,1239721534,1.49629E+14,895779.1818,43741.11309,89743.10125,286845.5779,282525,0,9802520156,1,-0.995906726,2647.092445,263.8893465,6.577679578,20.28474821,90.89017817,82.22763604,117.2253128,0.156996455,0.331040179,851355517.7,978988889.2,8.434727483,0,12.85107642,89.6801864,1,276,6.698812882,1,1,0.148970845,87.9785786,33.62745701,0,9.362323772,1.631825293,0.45224058,5.388060803,6.536388819,58.64787653,58.57029117,67.11267703,211,45,7413,692670,56.32799898,0,0
Brazil,2018,Hydro,39347.6028,17632.01509,1944519747,1077771838,9.65677E+13,803678.8952,39491.24456,14808.33958,871999.231,394802,0,601305866.6,1,3.53940516,1381.204425,256.5975658,6.881263018,14.77457229,96.96295313,81.57193279,829.771769,0.484729384,0.407709554,681730391.5,784137114.5,6.678629449,0,93.18940926,0.156919897,0,521,8.588435465,0,0,4.206711845,8.183546351,62.73441683,0,4.784154495,6.430044944,0.386452489,3.2312485,4.244326555,77.95219456,80.08490271,2.813933788,84,54,4153,925097,25.26752953,0,0
France,2019,Geothermal,87742.78651,27072.70924,7138460896,439874516,1.55307E+14,425491.7846,42415.64295,85106.87886,381850.0021,412317,0,2973264064,0,-1.147416104,1049.634853,273.5388269,2.672832809,49.65696802,8.999089271,85.85088332,356.8231731,0.390567972,0.331366749,238095200.6,984298316.5,4.372204811,0,39.99950557,64.14343173,1,199,8.070746849,0,1,13.36158568,70.4395029,81.65392443,1,8.613587262,4.175310606,0.600121551,7.685363266,1.244017638,21.12418181,5.010588895,74.04258475,984,13,638,251794,71.26819525,1,1
Germany,2007,Wind,39591.65996,48658.53056,3201391507,652212112,1.23221E+14,190266.4346,42527.62023,62598.43349,970463.5608,369501,1,6099483682,0,-8.59472904,2017.213081,236.4531654,13.46435575,76.01858272,6.891942229,97.77103402,853.5949852,0.370216595,0.277295535,464631960.3,790247247.6,9.885317632,0,7.74702473,84.12644398,1,499,2.377399982,1,0,64.33198914,12.18692169,34.1920077,0,1.612020868,1.415036506,1.538202347,6.898227557,5.53532872,27.43909706,3.110742814,40.46158887,400,44,984,440214,91.10140628,0,0
Japan,2016,Hydro,7019.996734,10139.45521,3897981380,1235027660,7.04541E+13,593204.4408,86427.32816,21344.19433,454064.6646,661264,1,8607024705,0,14.48121822,1027.084861,166.1591785,0.110212978,48.58744207,23.47992556,87.32007444,98.76462245,0.561864971,0.077277365,650122597.3,835404445.2,5.034625108,0,84.21176161,45.83602059,1,893,6.647638969,0,1,45.47482484,18.88799249,35.17126586,0,9.067303764,1.50002595,2.718726562,6.681571385,3.98773294,26.59689656,23.62020773,47.03252082,868,84,145,740180,41.68724583,0,1
USA,2009,Wind,70891.51598,28542.35793,8150261377,309379503,1.79782E+14,15694.7004,55013.32583,52625.3213,371678.6875,825270,1,6531479148,1,17.0132673,1318.641313,274.866065,2.015557595,51.40228371,1.214445263,12.63246333,751.7620861,0.051587931,0.209929058,515853908.6,619029730.4,5.386142397,0,82.76640064,32.04527843,0,315,5.433009774,1,0,34.59780877,32.88975807,60.2862739,0,1.163637846,2.886144263,1.14218703,2.894408154,4.080266522,15.43113439,77.83106149,67.73985873,649,24,3000,910113,69.68320509,1,1
India,2004,Hydro,70744.21223,20835.7227,4812403511,917756194,1.05999E+14,343318.1748,62107.23638,80233.24298,114657.4324,229693,1,9131002821,1,-3.192642441,917.9762909,157.1849539,3.809933906,63.28160869,71.22241943,17.70079559,688.941324,0.363316721,0.080005036,60672373.44,527494360.4,2.054351451,0,49.82406369,46.32656565,1,776,5.309795512,0,1,81.57054406,30.77839195,28.20420095,1,0.469384566,9.275052376,6.492066917,7.967685727,3.878060147,44.84019586,33.36162304,40.00156198,508,35,1671,139891,86.74779423,1,1
USA,2006,Biomass,1893.957534,44569.61109,5101574064,322688257,7.07158E+13,507526.8751,3592.80396,18627.15362,597081.2189,812763,1,5590010650,0,4.200504175,2728.707998,199.5032817,6.870972845,57.21992589,80.49232199,5.709875017,378.1730351,0.945672509,0.257100786,467331943.3,32653712.57,9.274894332,1,29.38668655,60.03313059,0,630,1.171567739,1,1,90.85103655,63.19250509,48.05611503,1,8.05062909,3.828675811,4.364545002,5.057805061,7.2629753,85.29198138,29.49937553,64.97494565,692,6,7620,77534,83.38881086,1,1
India,2014,Hydro,78938.88082,2765.20172,578249860.2,39364986,9.70351E+13,444767.8655,91792.87495,97814.20801,931976.3355,457921,0,7513725100,0,-7.615287848,1328.105028,176.0268425,8.762039627,30.36902165,6.329835539,8.475075066,512.7091355,0.635665979,0.436846635,743532646.5,527710282,0.562727578,0,7.599678395,45.71083735,0,967,7.196861153,0,0,53.23659034,98.00189415,80.49590755,0,0.05577883,1.417119748,9.276358557,1.274464179,3.427713624,39.74424495,66.75487074,12.75663237,896,62,8549,216263,54.47967153,0,1
Japan,2012,Wind,64648.18388,13690.56606,5489301770,1145215027,7.50383E+13,777786.1055,71067.10726,95258.87843,526404.372,264050,0,1273401829,0,-9.749112986,2742.702604,243.2347596,12.67725026,14.6319192,53.7774746,93.97518698,353.6034069,0.024769201,0.120704897,394040732.9,733796245,9.100191882,1,72.10093509,51.56018406,0,380,2.70390438,1,1,31.88084282,31.12485242,44.09981551,0,6.799622733,2.499304616,3.893233661,8.844627069,6.17441735,9.069961442,60.98231013,19.32139831,529,73,7142,494709,23.25841346,1,1
Canada,2017,Biomass,80365.9035,5265.477177,2474851154,414864856,7.51114E+13,874323.8323,11781.2036,83234.35096,170699.4422,418002,0,5417266947,0,28.98835743,2154.106846,141.9363936,11.83048011,53.51786511,27.06870618,4.074711813,592.101958,0.36912733,0.451238035,987393492.5,972222351.8,0.409483604,0,5.891722348,75.62170275,0,124,6.476119813,0,1,77.09615058,28.59584656,95.63144458,1,0.22991282,9.933219439,0.100305435,9.937940851,5.236471761,35.55130357,16.72797868,30.82177397,167,71,8122,10135,30.44800302,0,0
Canada,2004,Wind,43857.64614,36478.99545,1324296797,1082776033,9.52882E+13,490480.5278,94891.849,59291.68484,170889.0811,721335,1,5066875509,0,24.32117993,778.3536495,139.0777205,10.293284,10.54447372,16.94625672,52.61188533,130.6409524,0.025782315,0.435168689,959539792,181486280.2,1.06389024,1,46.51510821,14.615827,0,532,8.764385235,1,0,30.02417771,36.01212073,20.61877568,1,8.190595244,4.078045872,5.294551626,8.170439673,1.533810792,37.14236289,11.76937515,97.05080279,264,88,661,544488,84.68992222,1,1
Australia,2012,Geothermal,43673.62848,29774.70393,567720863.5,693484819,7.05661E+13,956157.5232,4356.079557,85286.04409,883473.3048,650021,1,4225365135,1,18.86012828,761.828905,154.7808689,6.59636382,94.10368514,60.43197007,90.46349159,996.5300853,0.730948582,0.401780613,503965772.8,989492711.4,4.796292571,0,47.44951211,68.53902624,0,992,1.867940573,1,1,22.02266009,3.205709496,62.37397257,0,5.334378769,2.16605631,1.683640184,4.866597951,6.440052607,21.38858995,15.61125245,90.34150637,480,58,2202,845793,88.57019239,0,1
Russia,2014,Hydro,22811.17783,20305.51943,3986907476,83804195,1.58355E+14,743612.8678,4796.837141,42868.67004,330088.5523,764112,1,6181169064,1,30.57719929,1438.065434,175.4669206,13.31599696,84.84625779,87.90087546,49.94519029,482.7827968,0.24982874,0.234692299,29393833.29,274570933.9,9.275390028,0,59.93912889,95.09132675,0,653,7.237534417,1,1,47.85988473,41.5875901,92.9832408,0,3.968265206,2.61880665,5.803969085,4.515725303,0.442428161,27.46750941,42.88916508,14.57574478,679,67,5521,845352,56.37844925,0,0
China,2014,Hydro,74247.52139,41122.89072,8092254632,681884802,8.92039E+13,19036.03288,10820.23683,99140.95167,437942.1025,232944,1,744411895.9,0,11.76682337,2346.417812,233.0441903,5.05809301,62.75471943,46.54800561,24.66778216,679.6955933,0.331121626,0.230948049,80894087.93,636071586.9,4.679079413,0,63.51405918,67.06391348,0,517,6.74213331,1,0,41.35836298,48.80590148,15.12530133,0,0.75170844,7.975853267,1.718906283,2.760398017,9.265817458,16.72890089,1.854934827,71.31610824,469,85,360,356638,61.71410676,0,1
Australia,2000,Biomass,43636.8811,19296.86617,6554377221,509980667,1.77786E+14,358831.3829,52662.06417,18717.15277,957141.0566,393848,1,6451974689,0,7.859819306,1459.366832,101.4515826,1.885153094,84.16317254,61.00545647,4.779735639,155.0176455,0.869402674,0.204267894,367407964.6,385780993.4,3.224173119,1,48.05229407,27.94883051,0,496,9.986479399,1,1,77.66836935,83.13742605,75.60688594,1,3.904252115,5.653254454,1.683043842,5.997075505,4.659536062,70.30828493,4.148085661,5.651831164,71,44,9762,100070,50.87047676,0,0
Brazil,2018,Hydro,67516.67593,6348.196114,3284621454,93243807,9.44185E+13,641715.2496,59458.44309,47343.94039,631303.6459,477543,1,6018446409,0,36.71719017,1462.961271,164.5689095,11.72440403,51.73430055,37.77148113,98.34023382,582.2462228,0.429019913,0.472030178,271105778.7,246100111.9,4.378134795,1,3.315481187,38.94596425,1,510,7.017179821,0,1,34.53817895,88.95710306,11.85999978,1,1.345285795,7.948471891,0.0141734,0.211301384,3.917103022,2.318426524,92.8737734,99.74764641,384,60,4898,420980,82.37318555,0,1
France,2011,Biomass,78962.16902,14834.70911,9209311894,101518698,1.05634E+14,163863.6087,51729.40188,69486.46901,226202.1156,254695,1,6827022192,0,37.44570327,442.3862518,225.6402254,5.740440086,34.26334681,41.40959623,30.41029029,968.2896281,0.622640257,0.468744661,846364194.2,822685882.4,6.147075797,0,33.3836958,1.651743446,1,139,7.265794171,0,0,77.83785949,18.88150366,86.73802753,0,4.908667806,2.572500339,9.156169576,8.863159257,9.101971346,9.04470768,18.25765643,90.33266188,461,54,4707,201692,91.69298949,1,1
France,2001,Wind,78295.97277,38017.49828,3833318641,64796036,1.95036E+13,689794.7863,36361.57256,43160.87001,172335.2177,33859,1,4658527977,1,2.264971156,581.5084922,133.3530031,3.129708774,25.75942912,7.684094229,7.455466466,240.6537728,0.592796425,0.40801986,67940548.1,362212469.3,2.070799866,1,70.44335238,88.57040627,0,922,7.896480725,1,0,2.095267954,93.17603984,59.40039406,0,6.189478972,3.319555616,3.137171773,8.507348069,9.032764048,98.58519972,3.782942954,30.94405593,345,66,6427,582942,2.417858267,1,1
Australia,2007,Geothermal,53801.69373,6784.631276,7017346211,967681269,7.37626E+13,275702.4139,28205.66206,55175.98175,586081.3887,849692,1,6628186922,0,11.25592628,2197.997264,268.1890268,3.292761312,32.53187431,64.12882486,26.15712053,793.6039611,0.753668921,0.424944377,271231001.1,443507754,2.213158884,0,12.72142633,34.34496547,0,709,8.666749076,0,1,41.3308493,42.64543876,95.64686313,0,4.479567354,0.502459112,1.996359736,9.858242818,9.440732676,63.77173857,81.02081641,86.67747759,533,76,2518,575779,19.24453697,0,1
Japan,2022,Hydro,42019.73044,47672.61212,4717472781,88083841,1.92999E+14,857007.6446,64622.83083,75673.93862,290969.0868,920536,0,2418087710,1,29.64566051,1535.792066,202.2898516,7.57496637,7.442143432,80.11306281,43.99201586,853.2917207,0.177462652,0.386411404,894112157.3,91890655.29,8.437462832,1,47.01832012,35.65766546,0,341,1.492008202,1,0,67.2121537,22.85521602,51.09847974,1,2.733835048,5.906451879,3.634175184,6.084299233,5.087999421,66.35041528,9.172803005,46.67028797,180,63,6593,635826,77.43114297,0,0
Germany,2007,Wind,66119.73911,3211.206959,2448703305,1321792139,5.58167E+13,727400.618,7319.564598,86389.62076,893044.7302,937317,1,3420183124,1,14.6398178,334.8810119,110.918214,5.699146956,95.21555095,36.10767214,16.04420221,19.99103999,0.766481357,0.489341307,654179539,441853622.7,4.389931689,0,81.47664776,36.18953454,0,339,4.105123483,1,1,6.700904044,8.618745008,56.10043725,1,0.970805695,9.487619149,3.532406404,1.317388969,6.296019948,10.1294238,54.0568676,20.13080376,636,60,4507,675979,57.04050319,1,1
Germany,2010,Geothermal,51264.6478,38326.08858,6191330910,364099635,1.93574E+14,786438.3838,93027.6949,11762.02915,674648.0674,492370,1,4219447847,1,34.41848185,1433.49853,101.266207,6.438538311,51.58981937,55.26920587,55.9456492,686.376437,0.51774506,0.470350082,564583315.6,674106012.5,1.65205188,1,34.21593141,48.39506614,0,869,1.992478086,1,0,34.68684389,59.90331181,89.08166226,1,2.561940263,5.093139562,0.496262369,6.322558971,3.364309768,72.72021483,72.37548655,35.66676663,352,64,8631,807487,48.11204513,1,0
Australia,2015,Biomass,75734.9203,18252.53976,2285038122,820359060,1.6568E+13,990849.3623,22475.67076,48561.9571,984861.0834,911579,1,8024604986,1,17.44594323,676.0464749,149.2613532,6.439708961,26.71958618,5.493878596,49.85209305,761.7034139,0.775923128,0.071487116,200419872.3,199836657.2,1.05951117,1,11.44431983,10.05138856,1,152,5.538449275,0,0,48.63871558,2.665968735,15.02681196,0,4.899099481,0.686060303,8.289501672,8.661072793,4.423505241,99.43279013,50.06582043,82.93835993,685,83,605,285769,1.826891174,1,1
Australia,2003,Wind,99506.48639,2961.81379,7121396027,82798738,4.22351E+13,891022.438,85960.5006,13173.28629,448199.3295,341759,0,9067213475,1,28.46846978,1810.838355,286.5221313,10.14372979,53.57845524,32.69501763,42.6050208,805.6338053,0.591414675,0.487540035,519292699.6,991421955.1,1.797767173,1,65.31181282,20.5295389,0,382,9.301942986,0,1,88.24577918,58.76404786,72.17383977,0,2.444970153,9.999539973,2.297349244,4.458718247,2.013513553,50.50047302,57.69165099,97.50047616,717,6,3750,265408,86.3331026,0,0
Australia,2002,Geothermal,94113.03815,9520.757065,4950263479,799179928,4.42331E+13,454928.5904,22645.76301,25062.65814,14967.56071,77740,0,5544867480,0,22.06905551,120.1720389,180.3294184,9.511729154,30.09973309,19.21573019,4.888759125,281.7440756,0.770488494,0.218710095,153867196.7,576179834.3,3.200546668,1,55.94073094,14.13733456,0,49,8.558173705,1,1,11.22840417,5.276906954,60.54402978,0,6.998438279,5.756610229,1.320345934,5.625210027,4.125157286,20.91800817,77.7747796,82.97165238,923,39,1861,216016,6.084547335,1,1
Canada,2010,Biomass,19597.52173,29727.68903,8979449296,201188189,1.67077E+14,751063.177,80568.68788,84928.4837,409619.9869,598646,1,1137482220,1,33.69780911,1989.422048,225.6228716,3.763321985,46.10374349,51.71240962,35.00846952,673.815565,0.591889542,0.341792047,95662928.68,289860042.5,0.648966871,0,2.160700381,9.391906439,0,486,4.980963703,1,0,29.29532264,65.23899774,5.488081799,1,5.080357213,3.001833471,5.479521589,5.820006668,7.05397273,47.42612169,49.57009056,80.88896111,720,35,7446,247041,6.751798463,0,0
Russia,2008,Biomass,41095.64624,5180.912015,2601243523,207623886,3.54171E+13,564420.6198,23479.45056,99649.41015,968029.7978,429280,0,9688592947,0,-1.161140298,1084.043975,148.2430041,0.358064161,71.36239452,34.17530285,8.296599608,826.7721181,0.702498589,0.164823974,313989426.6,901130062.1,1.489653079,0,73.7089183,5.106935087,0,187,4.905555319,1,1,60.24556211,92.20866397,64.85652764,0,7.153329828,0.308458314,4.369418027,2.635132632,5.403548049,3.184908034,80.52045889,71.91745618,947,42,8736,23305,15.02235823,1,1
Germany,2005,Biomass,14913.37839,11638.29569,2678474171,1315620482,1.91388E+14,771345.8781,41589.24389,91954.49102,145362.4226,67777,0,1396325188,0,27.94984039,342.7390334,219.9158225,12.31874788,64.12267636,9.895450864,5.132468865,828.6990539,0.708452931,0.275759361,286859610.8,148173494.2,2.590127807,0,13.93418678,66.68256244,0,858,0.549232623,0,1,24.66242476,12.94410175,66.82755441,1,4.999420643,6.058748005,9.680400083,3.878118867,2.43941745,79.71857112,68.43696456,58.05703737,375,67,8674,412517,20.04131191,1,1
Russia,2002,Biomass,74049.49855,32851.11765,1276475120,1386403364,5.96223E+13,379508.7931,21433.08731,39786.16049,999390.4961,832742,1,5219727183,0,-1.760406223,641.1249811,203.7623237,10.04138052,39.23084474,22.80632519,82.3187536,394.2408624,0.473744902,0.435513868,214115779.8,419462149.6,0.927553245,0,63.41569946,88.47535954,1,996,2.322507504,1,0,12.30451855,7.577922732,36.64194643,1,0.878583236,6.297261445,0.293213541,9.302350477,0.472078035,16.60527935,70.90981436,99.92647367,713,14,2567,269083,43.08366501,1,1
USA,2003,Wind,83722.70517,14385.39548,1281567724,75554998,1.0623E+14,418352.2555,11796.24585,77010.82279,340361.1117,828144,0,3850198766,0,38.48047189,1225.242613,280.0691211,8.601750648,88.8511553,8.261777116,4.678477796,679.9857246,0.547835582,0.474016221,536499017.6,299947775.7,0.752490714,0,88.02412398,25.1955792,1,592,5.297111373,0,0,79.55164181,4.762328231,40.91560774,0,0.903929496,4.843162787,1.541591981,4.620927274,0.972076739,99.79298417,40.5446495,16.3228084,755,28,5970,789009,16.52797839,0,0
Japan,2002,Wind,6133.625295,31510.74084,6733105421,1070973512,6.67904E+13,818147.0531,63073.15059,66154.99237,335776.9761,390440,1,8587118743,0,30.98952374,1699.101622,239.690832,12.28724361,90.60917556,56.83675808,83.07859692,101.7264419,0.092461484,0.248778051,974239817.6,610891964.2,6.574923238,1,67.78585614,58.09069,1,148,9.611679134,0,1,14.05360258,60.79524149,6.31916554,1,4.826996777,3.737385228,3.878171458,3.086158588,6.321887027,4.68735375,69.28896498,22.92404812,760,89,3947,600482,12.31831645,1,1
Japan,2019,Geothermal,1543.596814,36025.84634,8547974796,526204200,1.82557E+14,92736.07296,15470.77872,30897.31792,528216.8173,969458,1,5349251877,1,-8.099241767,466.3738057,235.2885468,13.20674396,97.69940779,54.59273404,72.77254209,144.7618353,0.700867851,0.110195387,38654348.65,456697451.7,2.502227626,1,17.13548952,27.9005939,0,419,2.335021576,1,0,70.94601909,45.34350988,52.9602413,0,3.039012192,9.483895666,0.959593461,8.543639664,1.425063834,37.9679702,59.22679656,40.87377286,531,97,3097,275663,19.31600083,0,0
Russia,2021,Solar,24715.47012,30762.21215,601953662.4,1268595243,3.90802E+13,405413.5233,10486.72572,76857.3483,308828.8878,345881,1,6195763468,0,29.48611939,2300.669518,220.2643525,5.545063153,0.881367523,22.11010931,94.60846614,860.9510755,0.791036832,0.278189559,910610639.8,372648715.4,5.645243963,0,72.13742237,65.68514693,0,419,6.8313646,0,0,41.36143769,92.4556994,94.54137177,1,4.785989169,9.7867789,9.412839236,6.872747756,0.587127061,47.70492457,54.35116445,92.64211434,980,70,6282,462474,78.37319284,0,0
